track,artist,album
I Don’t Know What I Am,Reliqa,I Don’t Know What I Am
Aria Math,C418,
Countdown to Extinction,Megadeth,
You Were But A Ghost In My Arms,Agalloch,
Red Cold River,Breaking Benjamin,Ember
Dead Air,Dawn of Solace,The Darkness
So Cold,Breaking Benjamin,We Are Not Alone
What If,Creed,
Lost in the Echo,Linkin Park,
Calling the Rain,Harakiri for the Sky,III: Trauma
Thanatos,Harakiri for the Sky,III: Trauma
As I Am,Dream Theater,
Pain Remains I: Dancing Like Flames,Lorna Shore,Pain Remains
"Pain Remains II: After All I've Done, I'll Disappear",Lorna Shore,Pain Remains
Pain Remains III: In a Sea of Fire,Lorna Shore,Pain Remains
Dream House,Deafheaven,Sunbather
Safety,Reliqa,
Weight of the World,Keiichi Okabe,
Behind These Hazel Eyes,Kelly Clarkson,
Glitch,Parkway Drive,Darker Still
Darker Still,Parkway Drive,Darker Still
Dissociation,Futakuchi Mana,
Shadows Inside,Miss May I,Shadows Inside
A Natural Apostasy,Be’lakor,The Frail Tide
Stabwound,Necrophagist,Epitaph
By Moon and Star,Be’lakor,Of Breath and Bone
Remnants,Be’lakor,Of Breath and Bone
Tapestry of the Starless Abstract,Ne Obliviscaris,Portal of I
Libera (Part 1),Ne Obliviscaris,Urn
Libera (Part 2),Ne Obliviscaris,Urn
Intra Venus,Ne Obliviscaris,Urn
Eyrie,Ne Obliviscaris,Urn
Urn (Part 1),Ne Obliviscaris,Urn
Urn (Part 2),Ne Obliviscaris,Urn
Tooi Sakebi,Reichi Nakaido,
Duvet,Boa,
Fear of the Dark,Iron Maiden,
Unholy Gravebirth,Infant Annihilator,The Elysian Grandeval Galèriarch
The Greatest Fear,Parkway Drive,Darker Still
Anoana,Heilung,
Stygia,Alissa White-Gluz,Metal: Hellsinger (Original Game Soundtrack)
"You’re Gonna Go Far, Kid",The Offspring,"Rise and Fall, Rage and Grace"
The Kids Aren’t Alright,The Offspring,Americana
Gunshot,The Brow Beat,
Event Horizon,Dawn Of Solace,
The Count of Tuscany,Dream Theater,
Just for a Moment,Austere,
I Will Not Bow,Breaking Benjamin,
Спокойная ночь,Кино,Группа крови
In the Shadow of Our Pale Companion,Agalloch,
From Roots to Needles,If These Trees Could Talk,"Above the Earth, Below the Sky"
Song to Say Goodbye,Harakiri for the Sky,Song to Say Goodbye
Once Upon a Winter,Harakiri for the Sky,Mære
Sing for the Damage We’ve Done,Harakiri for the Sky,Mære
"I, Pallbearer",Harakiri for the Sky,Mære
Alhamdulillah,Native Deen,
Deen You Know,Native Deen,
Intentions,Native Deen,
Small Deeds,Native Deen,
Looking Glass,Native Deen,Deen You Know
Paradise,Native Deen,
Test,Native Deen,Deen You Know
Drug Free,Native Deen,
Sakina,Native Deen,
Ohongkar,Icons,Lokayoto
Back To The Shadows,Burzum,
Bloodline,Northlane,
Dhoa'r Majhey,Shade,Shade
Alice&u,Ayunda Risu,
Hidden Window,Be'lakor,
Everything's Alright,Laura Shigihara,
Rosemary,Deftones,
Hereafter,Architects,Holy Hell
Much More Was Lost,Be'lakor,
Sun’s Delusion,Be’lakor,Stone's Reach
The Dream and the Waking,Be’lakor,Of Breath and Bone
Fraught,Be’lakor,Of Breath and Bone
Peaceful Sleep,Keiichi Okabe,
Onuvuti,Stentorian,Protimuhurtey
Give And Take,Poor Mans Poison,
"Shook Ones, Pt. II",Mobb Deep,
She Speaks of Stars,Halocraft,Chains for the Sea
Snake Eater,Cynthia Harrell,
Feather,Nujabes,
Valence,Be'lakor,Coherence
Locus,Be'lakor,Coherence
Inside The Hollow,Sion,
Calamus Will Animate,Archspire,Relentless Mutation
Big Belly,A-F-R-O,
KILL,vivivivivi,
Odrishsho Juddho,Stentorian,Agontuk 2
credits song for my death,vivivivivi,IN MY HEAD
The Bearer of Bad News,Reliqa,The Bearer of Bad News
Ancient Vibrations,Hedge Wizard,More True Than Time Thought
Huffing Petrichor,Hedge Wizard,More True Than Time Thought
Odd Visions,Hedge Wizard,More True Than Time Thought
As Old As The Hills,Hedge Wizard,More True Than Time Thought
Cemetery Violence,Hedge Wizard,More True Than Time Thought
Clairvoyance,Hedge Wizard,More True Than Time Thought
Conjurer's Clutter,Hedge Wizard,More True Than Time Thought
More True Than Time Thought,Hedge Wizard,More True Than Time Thought
Inkya Impulse,Futakuchi Mana,
Epona,Eluveitie,Evocation II: Pantheon
Collapse,War of Ages,
Fjörgyn,Osi and the Jupiter,Nordlige Rúnaskog
"Painters of the Tempest, Part I: Wyrmholes",Ne Obliviscaris,Citadel
"Painters of the Tempest, Part II: Triptych Lux",Ne Obliviscaris,Citadel
Painters of the Tempest (Part III): Reveries from the Stained Glass Womb,Ne Obliviscaris,Citadel
A Mother to Scare Away the Darkness,Halocraft,A Mother to Scare Away the Darkness
New Beginnings,Halocraft,A Mother to Scare Away the Darkness
The Machine,Halocraft,A Mother to Scare Away the Darkness
For The Son You Could Not Save,Halocraft,A Mother to Scare Away the Darkness
In The Woods,Halocraft,A Mother to Scare Away the Darkness
Through The Caverns,Halocraft,A Mother to Scare Away the Darkness
Small Victories,Halocraft,A Mother to Scare Away the Darkness
Quantum,Halocraft,A Mother to Scare Away the Darkness
Don't Break The Loop,Halocraft,A Mother to Scare Away the Darkness
In Lands of Ashes,Aquilus,Griseus
Drone Corpse Aviator,Archspire,Bleed the Future
1x1,Bring Me The Horizon,
Bed of Nails,Neko Fuzz,
Little Dark Age,MGMT,
I Riden Så,Gjallarhorn,Ranarop
Reflections,IRE,
Crawl,Breaking Benjamin,Dear Agony
Main Theme,Ori and the Blind Forest,
Tempest,Countless Skies,Tempest
Lords of the Trident,Death Dealer,
Vigil,Lamb of God,
You Went So Silent,Clouds,Doliu
If These Walls Could Speak,Clouds,Doliu
Heaven Was Blind To My Grief,Clouds,Doliu
A Glimpse of Sorrow,Clouds,Doliu
The Deep Vast Emptiness,Clouds,Doliu
Even If I Fall,Clouds,Doliu
New Millennium Cyanide Christ,Meshuggah,Chaosphere
Battle Vs. Trainer,FamilyJules,
Ancient Stones,FamilyJules,
Here Comes the Rain Again,Hypnogaja,
Death And The Healing,Wintersun,
Stay With Me,Miki Matsubara,
Pagol Chara Duniya Chole Na,Lalon Band,
Ljóstýra,Auðn,Vökudraumsins fangi
Blood Ornaments,Hooded Menace,
The Hellion / Electric Eye,Judas Priest,
Lead Wings,Dawn Of Solace,
My Curse,Killswitch Engage,
…And I Return to Nothingness,Lorna Shore,…And I Return to Nothingness
Alter Bridge,Metalingus,
Cast Into Fields of Evil Pleasure,Illnath,Cast Into Fields of Evil Pleasure
人間発電所,Buddha Brand,
The Bard’s Song,Blind Guardian,
My Sacrifice,Creed,
Part of Me,Evanescence,
Sonne,Rammstein,Mutter
Angelic Voices Calling,Illnath,4 Shades of Me
Pull Me Under,Dream Theater,Images and Words
A Lake of Frozen Tears,When Nothing Remains,In Memoriam
Cancer / Moonspeak,Rivers of Nihil,
Alesia,Eluveitie,
Journey to the End,Windir,The Sognametal Legacy
Don't be so serious,Low Roar,
Seven tears Are Flowing To The River,Nargaroth,
Soothsayer,Buckethead,
Withering Strands,Be'lakor,
Alles Wird in Flammen Stehen,Karg,Weltenasche
Þjáning heillar þjóðar,Auðn,
The Prelude to Bereavement,Shadow of Intent,Primordial
We Need a Gimmick,Nekrogoblikon,
Dance of Death,Iron Maiden,
Forget Not,Ne Obliviscaris,Portal of I
Global Warming,Gojira,
And Plague Flowers the Kaleidoscope,Ne Obliviscaris,Portal of I
By the Hands of Violent Winter,Illnath,Cast Into Fields of Evil Pleasure
Mandragore,Gojira,
The End of Heartache,Killswitch Engage,
Where Owls Know My Name,Rivers of Nihil,Where Owls Know My Name
Legion of the Serpent,The Faceless,Planetary Duality
Never Forgotten Justice,Superdeathflame,The Last Wave
Tribute,MiNERVA,
Doomsday,Architects,
Lost In Darkness,Restorrected,To the One and Only
Humanity,Rawesome,Creation
The River Dragon Has Come,Nevermore,The Year of the Voyager
Weighed Down With Sorrow,Insomnium,Across the Dark
And There Was Light,Illnath,Second Skin of Harlequin
Heaven Sent,Infinite Descent,
Intoxicated,Lacuna Coil,
Field of Hopes and Dreams,FamilyJules,
Enisey,Grima,Will of the Primordial
The Loss,Ars Onirica,
Avash,Avash,Avash
The Garden Of Earthly Delights,Apocalypse Orchestra,
Winter Song,Dawn of Solace,
If You Could Only See,Tonic,
Octavarium,Dream Theater,
Stairway to Heaven,Led Zeppelin,
Neverland,Eluveitie,Helvetios
Six,All That Remains,
"The Sun, The Moon, The Star",Æther Realm,Tarot
Abeyance,Be’lakor,Of Breath and Bone
Underneath a Sullen Moon,Shadow of Intent,Melancholy
Harakiri,Serj Tankian,Harakiri
Run to the Hills,Iron Maiden,
Walk With Me in Hell,Lamb of God,Walk With Me in Hell
I Forgive You,When Nothing Remains,Thy Dark Serenity
The Flood,Wolfheart,Tyhjyys
The Silent Life,Rivers of Nihil,Where Owls Know My Name
To the Gallows,dEMOTIONAL,Tarassis
Bhoy,Epitaph,Bhoy
Story for a Muse,Being,Anthropocene
Strife,Trivium,Vengeance Falls
All Alone,Blind Witness,Nightmare on Providence Street
One Hundred Years,VREID,
Mourning of the Sun,When Nothing Remains,As All Torn Asunder
Yekteníya 1,Batushka,Litourgiya
Ghost Story,When Nothing Remains,
Reunited in the Grave,When Nothing Remains,In Memoriam
Welcome Home,Coheed and Cambria,"Good Apollo I’m Burning Star IV, Volume One: From Fear Through the Eyes of Madness"
Angels of Distress,Shape of Despair,Angels of Distress
Reminder,Kryn,Scars Remind Me
The Floating Grave,Voidhaven,Voidhaven
Cemetery Bloom,Parkway Drive,Reverence
Blackout,Linkin Park,A Thousand Suns
"I Am Chaos, I Am Destruction",Dawn of Solace,
Countless Skies,Be’lakor,Stone's Reach
DNA,Being,Anthropocene
Algorythm,Beyond Creation,Algorythm
I‐E‐A‐I‐A‐I‐O,System of a Down,
Through the Fire and Flames,DragonForce,
All Shall Fall,Immortal,
BFG Division,Mick Gordon,
Silvera,Gojira,Magma
Stranded,Gojira,
L’Enfant Sauvage,Gojira,
Hallowed Be Thy Name,Cradle of Filth,Cruelty and the Beast
Everytime I Die,Children of Bodom,
As the Pages Burn,Arch Enemy,
You Will Know My Name,Arch Enemy,
The World Is Yours,Arch Enemy,
The Eagle Flies Alone,Arch Enemy,
We Will Rise,Arch Enemy,
Sweet Dreams,Marilyn Manson,
Image of Time,In Vain,Ænigma
The Rise Of Hannibal,EX DEO,
Open Arms to Damnation,Born of Osiris,The Eternal Reign
M∆chine,Born of Osiris,Tomorrow We Die ∆live
Bow Down,Born of Osiris,The Eternal Reign
Omnipresent Perception,Beyond Creation,
Involuntary Doppelgänger,Archspire,Relentless Mutation
Human Murmuration,Archspire,Relentless Mutation
Immaculate Order,Rings of Saturn,Dingir
More Than Conquerors,Impending Doom,
Elitist Ones,Whitechapel,Mark of the Blade
Mikasa,Veil of Maya,
Undertale Guitar Medley,FamilyJules,
Render the Void,ERRA,Impulse
Broken Dreams,dEMOTIONAL,Tarassis
Back Burner,August Burns Red,
My Own Grave,As I Lay Dying,Shaped by Fire
Modern Misery,Architects,
Lonely Day,System of a Down,
Aerials,System of a Down,
Chop Suey!,System of a Down,
Toxicity,System of a Down,
Bhrom,Absentia,Bhrom
The Diary of Jane,Breaking Benjamin,Phobia
A Martian Winter,Angel Vivaldi,
In the Air Tonight,Phil Collins,
Another Day in Paradise,Phil Collins,
Die Alone,Light the Torch,Revival
Drive,Incubus,Make Yourself
The Reason,Hoobastank,
Rainbow in the Dark,Dio,
Holy Diver,Dio,
Rainbow in the Dark,Corey Taylor,
The Last In Line,Tenacious D,
Black Diamond,Stratovarius,
Gray Sublime Archon,Eluveitie,Slania
Inis Mona,Eluveitie,
King,Eluveitie,
The Silver Sister,Eluveitie,
Vianna,Eluveitie,
The Call Of The Mountains,ELUVEITIE,
Celtos,Eluveitie,
From Darkness,Eluveitie,
The Nameless,Eluveitie,
A Rose for Epona,Eluveitie,
Quoth the Raven,Eluveitie,Everything Remains as It Never Was
Thousandfold,Eluveitie,
Water Awakes,Shallow Rivers,
Distress,Slumber,Fallout
Twilight Innocence,Novembers Doom,The Novella Reservoir
Crevasse,Karg,Weltenasche
Leaden Winged Burden,Doom:vs,Dead Words Speak
The Unknown Kadath In The Cold Waste,Colosseum,
Seven Suns,Calliophis,
Þjáning heillar þjóðar,Auðn,
