track,artist,album
Shadow of the Mountain,Alda,Tahoma
Wandering Spirit,Alda,Tahoma
Heritage of the Natural Realm,Sojourner,Empires of Ash
I Was Never There,Dawn of Solace,The Darkness
This Calling,All That Remains,The Fall of Ideals
Idol Hands,Kmac2021,Idol Hands
Ellipse,Oh Hiroshima,In Silence We Yearn
Mirage,Oh Hiroshima,In Silence We Yearn
Ruach,Oh Hiroshima,In Silence We Yearn
Holding Rivers,Oh Hiroshima,In Silence We Yearn
Aria,Oh Hiroshima,In Silence We Yearn
Drones,Oh Hiroshima,In Silence We Yearn
Scene Nine: Finally Free,Dream Theater,Metropolis Pt. 2: Scenes from a Memory
Kiss My Ashes,Woods of Ypres,Woods 5: Grey Skies & Electric Light
A.U.M.,Archspire,Bleed The Future
Apology,Alesana,Try This With Your Eyes Closed
Wait for Sleep,Dream Theater,Images and Words
Another World,Gojira,Fortitude
The Gift of Guilt,Gojira,Magma
Wish You Were Here,Incubus,Morning View
Burning From Both Ends,Harakiri for the Sky,Aokigahara
I Don’t Know What I Am,Reliqa,I Don’t Know What I Am
Aria Math,C418,Minecraft OST
Countdown to Extinction,Megadeth,Countdown to Extinction
You Were But A Ghost In My Arms,Agalloch,The Mantle
Red Cold River,Breaking Benjamin,Ember
Dead Air,Dawn of Solace,The Darkness
So Cold,Breaking Benjamin,We Are Not Alone
What If,Creed,Human Clay
Lost in the Echo,Linkin Park,Living Things
Calling the Rain,Harakiri for the Sky,III: Trauma
Thanatos,Harakiri for the Sky,III: Trauma
As I Am,Dream Theater,Train of Thought
Pain Remains I: Dancing Like Flames,Lorna Shore,Pain Remains
"Pain Remains II: After All I've Done, I'll Disappear",Lorna Shore,Pain Remains
Pain Remains III: In a Sea of Fire,Lorna Shore,Pain Remains
Dream House,Deafheaven,Sunbather
Safety,Reliqa,I Don't Know What I Am
Weight of the World,Keiichi Okabe,NieR:Automata Unreleased Additional Soundtrack
Behind These Hazel Eyes,Kelly Clarkson,Breakaway
Glitch,Parkway Drive,Darker Still
Darker Still,Parkway Drive,Darker Still
Dissociation,Futakuchi Mana,
Shadows Inside,Miss May I,Shadows Inside
A Natural Apostasy,Be’lakor,The Frail Tide
Stabwound,Necrophagist,Epitaph
By Moon and Star,Be’lakor,Of Breath and Bone
Remnants,Be’lakor,Of Breath and Bone
Tapestry of the Starless Abstract,Ne Obliviscaris,Portal of I
Libera (Part 1),Ne Obliviscaris,Urn
Libera (Part 2),Ne Obliviscaris,Urn
Intra Venus,Ne Obliviscaris,Urn
Eyrie,Ne Obliviscaris,Urn
Urn (Part 1),Ne Obliviscaris,Urn
Urn (Part 2),Ne Obliviscaris,Urn
Tooi Sakebi,Reichi Nakaido,
Duvet,Boa,Twilight
Fear of the Dark,Iron Maiden,Fear of the Dark
Unholy Gravebirth,Infant Annihilator,The Elysian Grandeval Galèriarch
The Greatest Fear,Parkway Drive,Darker Still
Anoana,Heilung,Drif
Stygia,Alissa White-Gluz,Metal: Hellsinger (Original Game Soundtrack)
"You’re Gonna Go Far, Kid",The Offspring,"Rise and Fall, Rage and Grace"
The Kids Aren’t Alright,The Offspring,Americana
Gunshot,The Brow Beat,404
Event Horizon,Dawn Of Solace,Flames of Perdition
The Count of Tuscany,Dream Theater,Black Clouds & Silver Linings
Just for a Moment,Austere,To Lay Like Old Ashes
I Will Not Bow,Breaking Benjamin,Dear Agony
Спокойная ночь,Кино,Ночь
In the Shadow of Our Pale Companion,Agalloch,The Mantle
From Roots to Needles,If These Trees Could Talk,"Above the Earth, Below the Sky"
Song to Say Goodbye,Harakiri for the Sky,Mære
Once Upon a Winter,Harakiri for the Sky,Mære
Sing for the Damage We’ve Done,Harakiri for the Sky,Mære
"I, Pallbearer",Harakiri for the Sky,Mære
Alhamdulillah,Native Deen,Deen You Know
Deen You Know,Native Deen,Deen You Know
Intentions,Native Deen,Deen You Know
Small Deeds,Native Deen,Deen You Know
Looking Glass,Native Deen,Deen You Know
Paradise,Native Deen,Deen You Know
Test,Native Deen,Deen You Know
Drug Free,Native Deen,Deen You Know
Sakina,Native Deen,Deen You Know
Ohongkar,Icons,Lokayoto
Back To The Shadows,Burzum,
Bloodline,Northlane,Alien
Dhoa'r Majhey,Shade,Shade
Alice&u,Ayunda Risu,ALiCE&u
Hidden Window,Be'lakor,Coherence
Everything's Alright,Laura Shigihara,
Rosemary,Deftones,Koi no Yokan
Hereafter,Architects,Holy Hell
Much More Was Lost,Be'lakor,Coherence
Sun’s Delusion,Be’lakor,Stone’s Reach
The Dream and the Waking,Be’lakor,Of Breath and Bone
Fraught,Be’lakor,Of Breath and Bone
Peaceful Sleep,Keiichi Okabe,NieR:Automata Unreleased Additional Soundtrack
Onuvuti,Stentorian,Protimuhurtey
Give And Take,Poor Mans Poison,In the End
"Shook Ones, Pt. II",Mobb Deep,Chilled Hip Hop
She Speaks of Stars,Halocraft,Chains for the Sea
Snake Eater,Cynthia Harrell,
Feather,Nujabes,Modal Soul
Valence,Be'lakor,Coherence
Locus,Be'lakor,Coherence
Inside The Hollow,Sion,SION
Calamus Will Animate,Archspire,Relentless Mutation
Big Belly,A-F-R-O,
KILL,vivivivivi,
Odrishsho Juddho,Stentorian,Agontuk 2
credits song for my death,vivivivivi,IN MY HEAD
The Bearer of Bad News,Reliqa,The Bearer of Bad News
Ancient Vibrations,Hedge Wizard,More True Than Time Thought
Huffing Petrichor,Hedge Wizard,More True Than Time Thought
Odd Visions,Hedge Wizard,More True Than Time Thought
As Old As The Hills,Hedge Wizard,More True Than Time Thought
Cemetery Violence,Hedge Wizard,More True Than Time Thought
Clairvoyance,Hedge Wizard,More True Than Time Thought
Conjurer's Clutter,Hedge Wizard,More True Than Time Thought
More True Than Time Thought,Hedge Wizard,More True Than Time Thought
Inkya Impulse,Futakuchi Mana,
Epona,Eluveitie,Evocation II – Pantheon
Collapse,War of Ages,Eternal
Fjörgyn,Osi and the Jupiter,Nordlige Rúnaskog
"Painters of the Tempest, Part I: Wyrmholes",Ne Obliviscaris,Citadel
"Painters of the Tempest, Part II: Triptych Lux",Ne Obliviscaris,Citadel
Painters of the Tempest (Part III): Reveries from the Stained Glass Womb,Ne Obliviscaris,Citadel
A Mother to Scare Away the Darkness,Halocraft,A Mother to Scare Away the Darkness
New Beginnings,Halocraft,A Mother to Scare Away the Darkness
The Machine,Halocraft,A Mother to Scare Away the Darkness
For The Son You Could Not Save,Halocraft,A Mother to Scare Away the Darkness
In The Woods,Halocraft,A Mother to Scare Away the Darkness
Through The Caverns,Halocraft,A Mother to Scare Away the Darkness
Small Victories,Halocraft,A Mother to Scare Away the Darkness
Quantum,Halocraft,A Mother to Scare Away the Darkness
Don't Break The Loop,Halocraft,A Mother to Scare Away the Darkness
In Lands of Ashes,Aquilus,Griseus
Drone Corpse Aviator,Archspire,Bleed the Future
1x1,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR
Bed of Nails,"Neko Fuzz, Barbasauce",Rawk Album 1.0
Little Dark Age,MGMT,Little Dark Age
I Riden Så,Gjallarhorn,Ranarop: Call of the Sea Witch
Reflections,IRE,Reflections
Crawl,Breaking Benjamin,Dear Agony
Main Theme,Ori and the Blind Forest,
Tempest,Countless Skies,Glow
Lords of the Trident,Death Dealer,Shadows from the Past
Vigil,Lamb of God,As The Palaces Burn
You Went So Silent,Clouds,Doliu
If These Walls Could Speak,Clouds,Doliu
Heaven Was Blind To My Grief,Clouds,Doliu
A Glimpse of Sorrow,Clouds,Doliu
The Deep Vast Emptiness,Clouds,Doliu
Even If I Fall,Clouds,Doliu
New Millennium Cyanide Christ,Meshuggah,Chaosphere
Battle Vs. Trainer,FamilyJules,"Video Game Guitar Covers, Vol. 5"
Ancient Stones,FamilyJules,"Video Game Guitar Covers, Vol. 5"
Here Comes the Rain Again,Hypnogaja,Below Sunset
Death And The Healing,Wintersun,Wintersun
Pagol Chara Duniya Chole Na,Lalon Band,
Ljóstýra,Auðn,Vökudraumsins fangi
Blood Ornaments,Hooded Menace,The Tritonus Bell
The Hellion / Electric Eye,Judas Priest,Metalogy
Lead Wings,Dawn Of Solace,Waves
My Curse,Killswitch Engage,As Daylight Dies
…And I Return to Nothingness,Lorna Shore,…And I Return to Nothingness
Alter Bridge,Metalingus,One Day Remains
Cast Into Fields of Evil Pleasure,Illnath,Cast Into Fields of Evil Pleasure
人間発電所,Buddha Brand,黒船
The Bard’s Song,Blind Guardian,Somewhere Far Beyond
My Sacrifice,Creed,Weathered
Part of Me,Evanescence,The Bitter Truth
Sonne,Rammstein,Mutter
Angelic Voices Calling,Illnath,Angelic Voices Calling
Pull Me Under,Dream Theater,Images and Words
A Lake of Frozen Tears,When Nothing Remains,In Memoriam
Cancer / Moonspeak,Rivers of Nihil,Where Owls Know My Name
Alesia,Eluveitie,Helvetios
Journey to the End,Windir,The Sognametal Legacy
Don't be so serious,Low Roar,"Once in a Long, Long While…"
Seven tears Are Flowing To The River,Nargaroth,Black Metal ist Krieg: A Dedication Monument
Soothsayer,Buckethead,Crime Slunk Scene
Withering Strands,Be'lakor,Vessels
Alles Wird in Flammen Stehen,Karg,Weltenasche
Þjáning heillar þjóðar,Auðn,Auðn
The Prelude to Bereavement,Shadow of Intent,Primordial
We Need a Gimmick,Nekrogoblikon,Heavy Meta
Dance of Death,Iron Maiden,Dance of Death
Forget Not,Ne Obliviscaris,Portal of I
Global Warming,Gojira,From Mars to Sirius
And Plague Flowers the Kaleidoscope,Ne Obliviscaris,Portal of I
By the Hands of Violent Winter,Illnath,Cast Into Fields of Evil Pleasure
Mandragore,Gojira,Possessed
The End of Heartache,Killswitch Engage,Disarm the Descent
Where Owls Know My Name,Rivers of Nihil,Where Owls Know My Name
Legion of the Serpent,The Faceless,Planetary Duality
Never Forgotten Justice,Superdeathflame,The Last Wave
Tribute,MiNERVA,
Doomsday,Architects,Holy Hell
Lost In Darkness,Restorrected,To the One and Only
Humanity,Rawesome,Creation
The River Dragon Has Come,Nevermore,The Year of the Voyager
Weighed Down With Sorrow,Insomnium,Across the Dark
And There Was Light,Illnath,Second Skin of Harlequin
Heaven Sent,Infinite Descent,Infinite Descent
Intoxicated,Lacuna Coil,Dark Adrenaline
Field of Hopes and Dreams,FamilyJules,
Enisey,Grima,Will of the Primordial
The Loss,Ars Onirica,I: Cold
Avash,Avash,Avash
The Garden Of Earthly Delights,Apocalypse Orchestra,The End Is Nigh
Winter Song,Dawn of Solace,The Darkness
If You Could Only See,Tonic,Lemon Parade Revisited
Octavarium,Dream Theater,Octavarium
Stairway to Heaven,Led Zeppelin,Bring Forth Death
Neverland,Eluveitie,Helvetios
Six,All That Remains,The Fall of Ideals
"The Sun, The Moon, The Star",Æther Realm,Tarot
Abeyance,Be’lakor,Of Breath and Bone
Underneath a Sullen Moon,Shadow of Intent,Melancholy
Harakiri,Serj Tankian,Harakiri
Run to the Hills,Iron Maiden,The Number of the Beast
Walk With Me in Hell,Lamb of God,Sacrament
I Forgive You,When Nothing Remains,Thy Dark Serenity
The Flood,Wolfheart,Tyhjyys
The Silent Life,Rivers of Nihil,Where Owls Know My Name
To the Gallows,dEMOTIONAL,Tarassis
Bhoy,Epitaph,Bhoy
Story for a Muse,Being,Anthropocene
Strife,Trivium,Vengeance Falls
All Alone,Blind Witness,Nightmare on Providence Street
One Hundred Years,VREID,Lifehunger
Mourning of the Sun,When Nothing Remains,As All Torn Asunder
Yekteníya 1,Batushka,Litourgiya
Ghost Story,When Nothing Remains,In Memoriam
Reunited in the Grave,When Nothing Remains,In Memoriam
Welcome Home,Coheed and Cambria,"Good Apollo I’m Burning Star IV, Volume One: From Fear Through the Eyes of Madness"
Angels of Distress,Shape of Despair,Angels of Distress
Reminder,Kryn,Scars Remind Me
The Floating Grave,Voidhaven,Voidhaven
Cemetery Bloom,Parkway Drive,Reverence
Blackout,Linkin Park,A Thousand Suns
"I Am Chaos, I Am Destruction",Dawn of Solace,The Darkness
Countless Skies,Be’lakor,Stone’s Reach
DNA,Being,Anthropocene
Algorythm,Beyond Creation,Algorythm
I‐E‐A‐I‐A‐I‐O,System of a Down,Steal This Album!
Through the Fire and Flames,DragonForce,Inhuman Rampage
All Shall Fall,Immortal,All Shall Fall
BFG Division,Mick Gordon,
Silvera,Gojira,Magma
Stranded,Gojira,Magma
L’Enfant sauvage,Gojira,L’Enfant sauvage
