,title,,,,
"UKwrgWkur00","Within Temptation - What Have You Done (Music Video) ft. Keith Caputo","WithinTemptationVEVO","2024-04-01","2011-03-18","https://i.ytimg.com/vi/UKwrgWkur00/hqdefault.jpg"
"nVvwgxY5M_U","ALDA - Passage FULL ALBUM (Official Audio)","Eisenwald Official","2024-04-01","2015-09-03","https://i.ytimg.com/vi/nVvwgxY5M_U/hqdefault.jpg"
"9993MBSCGIg","HARBINGER - Hate File (Official Music Video)","HARBINGER","2024-04-01","2021-12-10","https://i.ytimg.com/vi/9993MBSCGIg/hqdefault.jpg"
"t_m4V6WAWjk","DEXCORE 「Brain Washing」 Official Music Video","DEXCORE OFFICIAL CHANNEL","2024-04-01","2018-11-01","https://i.ytimg.com/vi/t_m4V6WAWjk/hqdefault.jpg"
"Q6xfbJV21GI","Follow the Plaguelord Pt  II: The Harbinger Ov Pestilence by Empyrean Throne [HI-FI AUDIO][LYRICS]","Empyrean Throne Band","2024-04-01","2019-08-18","https://i.ytimg.com/vi/Q6xfbJV21GI/hqdefault.jpg"
"kMLTqfwqmh8","ALDA - A Distant Fire FULL ALBUM (Official Audio)","Eisenwald Official","2024-04-01","2021-10-06","https://i.ytimg.com/vi/kMLTqfwqmh8/hqdefault.jpg"
"gqlbDMLBArs","I'm Alive","Disturbed - Topic","2024-02-22","2015-09-01","https://i.ytimg.com/vi/gqlbDMLBArs/hqdefault.jpg"
"KV2rTW8DT0s","For When You Can't Breathe - I Hope She Sees This (Acoustic)","For When You Can't Breathe","2024-02-02","2023-02-03","https://i.ytimg.com/vi/KV2rTW8DT0s/hqdefault.jpg"
"0HWUYfdhfc0","Lustre - Petrichor","Middel Erde","2024-01-30","2013-10-22","https://i.ytimg.com/vi/0HWUYfdhfc0/hqdefault.jpg"
"ind9EPBzh-Y","Кино - Закрой за мной дверь, я ухожу","Lev Gou","2024-01-07","2009-08-16","https://i.ytimg.com/vi/ind9EPBzh-Y/hqdefault.jpg"
"9T6PXX7X2ro","Chaoseum - Smile Again (Official Music Video)","Spaceuntravel","2023-10-09","2021-04-27","https://i.ytimg.com/vi/9T6PXX7X2ro/hqdefault.jpg"
"d0GEZ-oO0Ls","VOY-Stentorian","Rezwanul Islam","2023-09-13","2012-05-03","https://i.ytimg.com/vi/d0GEZ-oO0Ls/hqdefault.jpg"
"hYGTpQsU_GA","FRASER EDWARDS - Stop Saying We Sound Like Dragonforce (Official Video)","Fraser Edwards","2023-09-03","2020-04-10","https://i.ytimg.com/vi/hYGTpQsU_GA/hqdefault.jpg"
"cwi6cITBNrg","DEAD INSIDE - belowground","IncelFan","2023-07-30","2023-07-29","https://i.ytimg.com/vi/cwi6cITBNrg/hqdefault.jpg"
"RRq4-uktHiI","Dan Dan Don Don","Nanashi Mumei Ch. hololive-EN","2023-07-29","2022-09-03","https://i.ytimg.com/vi/RRq4-uktHiI/hqdefault.jpg"
"FJn0MWJPRMY","Kino - Kukushka","MrOlav321","2023-06-23","2011-03-13","https://i.ytimg.com/vi/FJn0MWJPRMY/hqdefault.jpg"
"cK3NMZAUKGw","BABYMETAL - メギツネ - MEGITSUNE (OFFICIAL)","BABYMETAL","2023-06-22","2013-06-04","https://i.ytimg.com/vi/cK3NMZAUKGw/hqdefault.jpg"
"3NoKAOTE_ZI","Sonic Frontiers OST - ""Undefeatable""","Sonic the Hedgehog","2023-06-22","2022-11-09","https://i.ytimg.com/vi/3NoKAOTE_ZI/hqdefault.jpg"
"HtW-9GMZFoU","Icarus","Bastille - Topic","2023-06-22","2018-07-26","https://i.ytimg.com/vi/HtW-9GMZFoU/hqdefault.jpg"
"jZtEl7aqIsI","SHAPE OF DESPAIR - Forfeit (Official Streaming Video)","Season of Mist","2023-06-22","2022-01-27","https://i.ytimg.com/vi/jZtEl7aqIsI/hqdefault.jpg"
"T9TvcAMENJE","Woods of Ypres - I Was Buried in Mount Pleasant Cemetery (Official Video)","Earache Records","2023-06-22","2011-02-09","https://i.ytimg.com/vi/T9TvcAMENJE/hqdefault.jpg"
"9DskaQGivSg","My Sleeping Karma - Atma (2022) [Full Album]","Morphy","2023-06-21","2022-07-28","https://i.ytimg.com/vi/9DskaQGivSg/hqdefault.jpg"
"mvqAiSy9J4E","RELIQA - The Ritualist (Official Visualiser)","Reliqa","2023-06-21","2022-09-15","https://i.ytimg.com/vi/mvqAiSy9J4E/hqdefault.jpg"
"M6siP8dnTtg","Ichchhe Ghuri | ইচ্ছে ঘুড়ি | Shironamhin | Ichche Ghuri | Original Track","G Series World Music","2023-06-21","2022-01-16","https://i.ytimg.com/vi/M6siP8dnTtg/hqdefault.jpg"
"DFeBkHJUZDg","DragonForce - Ashes of the Dawn (Reaching Into Infinity)","DragonForceVEVO","2023-06-21","2017-05-15","https://i.ytimg.com/vi/DFeBkHJUZDg/hqdefault.jpg"
"gfL2mV94F-0","The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens","Infant Annihilator - Topic","2023-06-21","2019-09-10","https://i.ytimg.com/vi/gfL2mV94F-0/hqdefault.jpg"
"jDzt1B5hRbM","Beyond the Realms of God","Outlaw - Topic","2023-06-21","2023-01-26","https://i.ytimg.com/vi/jDzt1B5hRbM/hqdefault.jpg"
"eUCwkrLXfmM","Sabhankra - I Will Die With Your Love","Mete Sarigul","2023-06-21","2016-05-04","https://i.ytimg.com/vi/eUCwkrLXfmM/hqdefault.jpg"
"vz9LRM22Bkw","Itihash || ইতিহাস || Aurthohin || Agontuk 3 || Band Song || All Time Hit || @G Series World Music","G Series World Music","2023-06-13","2020-08-23","https://i.ytimg.com/vi/vz9LRM22Bkw/hqdefault.jpg"
"fWgI8NuEXik","Legion of Monsters","Disturbed - Topic","2023-05-26","2015-09-01","https://i.ytimg.com/vi/fWgI8NuEXik/hqdefault.jpg"
"T_lC2O1oIew","竹内まりや -  Plastic Love (Official Music Video)","竹内まりや","2023-05-26","2021-11-11","https://i.ytimg.com/vi/T_lC2O1oIew/hqdefault.jpg"
"6hiN_dgGKGQ","AS BLOOD RUNS BLACK - In Dying Days (With Lyrics)","AsBIoodRunsBIack","2023-05-26","2009-07-27","https://i.ytimg.com/vi/6hiN_dgGKGQ/hqdefault.jpg"
"BXo3DrXHY8w","Chrono Trigger Soundtrack - Corridors of Time [HQ]","phoenix3065","2023-05-26","2012-11-04","https://i.ytimg.com/vi/BXo3DrXHY8w/hqdefault.jpg"
"zpzdgmqIHOQ","Madonna - La Isla Bonita (Official Video)","Madonna","2023-05-24","2009-10-27","https://i.ytimg.com/vi/zpzdgmqIHOQ/hqdefault.jpg"
"5xtTwJIvf5Y","6 No Bipod Songket | Fokir Lal Miah | Full Album |  Audio Jukebox","G Series Music","2023-05-23","2016-11-14","https://i.ytimg.com/vi/5xtTwJIvf5Y/hqdefault.jpg"
"q8bCu7FEi20","Mrito - Icons","Shadman Saqib","2023-05-01","2018-07-10","https://i.ytimg.com/vi/q8bCu7FEi20/hqdefault.jpg"
"u1djzeOGXTY","Alda - Tahoma (Full Album)","Wallaaigiao","2023-04-01","2015-06-07","https://i.ytimg.com/vi/u1djzeOGXTY/hqdefault.jpg"
"fypafpq3RZ0","Heritage of the Natural Realm","Sojourner - Topic","2023-04-01","2016-06-15","https://i.ytimg.com/vi/fypafpq3RZ0/hqdefault.jpg"
"Q-lfJ8W6Nrw","ΛΔΛΜ - SUN  (Full Album 2020)","666MrDoom","2023-04-01","2020-08-21","https://i.ytimg.com/vi/Q-lfJ8W6Nrw/hqdefault.jpg"
"gTc-nyyvvMI","Dawn Of Solace - I Was Never There","Olszynka Ligeia","2023-03-31","2010-06-09","https://i.ytimg.com/vi/gTc-nyyvvMI/hqdefault.jpg"
"EEJgBdGbdcU","All That Remains - This Calling","XXXHedgehog789XXX","2023-03-31","2011-06-22","https://i.ytimg.com/vi/EEJgBdGbdcU/hqdefault.jpg"
"CiNm-4dhpRQ","Kmac2021 - Idol Hands [Official Lyric Video]","Kmac2021","2023-03-31","2022-04-25","https://i.ytimg.com/vi/CiNm-4dhpRQ/hqdefault.jpg"
"RJCLnFOfFKQ","Oh Hiroshima - In Silence We Yearn (Full Album)","WherePostRockDwells","2023-03-31","2015-11-07","https://i.ytimg.com/vi/RJCLnFOfFKQ/hqdefault.jpg"
"tdZKo7hPzmE","Scene Nine: Finally Free","Dream Theater - Topic","2023-03-15","2017-04-08","https://i.ytimg.com/vi/tdZKo7hPzmE/hqdefault.jpg"
"QFfZYyOgjhM","Woods Of Ypres - Kiss My Ashes (Goodbye) (Official Audio)","Earache Records","2023-03-08","2011-11-29","https://i.ytimg.com/vi/QFfZYyOgjhM/hqdefault.jpg"
"uZfemIvH59U","Atrum - Spring Night","ValekGoth Promotion","2023-02-24","2022-08-17","https://i.ytimg.com/vi/uZfemIvH59U/hqdefault.jpg"
"VW442x1MyGw","A.U.M.","Archspire - Topic","2023-02-24","2021-10-28","https://i.ytimg.com/vi/VW442x1MyGw/hqdefault.jpg"
"dyvpR0c-bRQ","Apology","Alesana - Topic","2023-02-15","2017-07-24","https://i.ytimg.com/vi/dyvpR0c-bRQ/hqdefault.jpg"
"YaNxroBFWBU","Wait for Sleep","Dream Theater - Topic","2023-02-14","2017-07-26","https://i.ytimg.com/vi/YaNxroBFWBU/hqdefault.jpg"
"iqrMFNMgVS0","Gojira - Another World [OFFICIAL VIDEO]","Gojira","2023-02-14","2020-08-05","https://i.ytimg.com/vi/iqrMFNMgVS0/hqdefault.jpg"
"qciMkZsCul8","The Gift of Guilt","Gojira - Topic","2023-02-14","2017-01-25","https://i.ytimg.com/vi/qciMkZsCul8/hqdefault.jpg"
"Z3hvVzfW1sk","Wish You Were Here","Incubus - Topic","2023-02-09","2017-02-19","https://i.ytimg.com/vi/Z3hvVzfW1sk/hqdefault.jpg"
"kx_5l1LWSqA","Burning from Both Ends","Harakiri for the Sky - Topic","2023-02-09","2015-08-23","https://i.ytimg.com/vi/kx_5l1LWSqA/hqdefault.jpg"
"hPtnl02TWNU","RELIQA - I Don't Know What I Am (Official Visualiser)","Reliqa","2023-02-08","2022-09-15","https://i.ytimg.com/vi/hPtnl02TWNU/hqdefault.jpg"
"skRN9ZZ1XyU","C418 - Aria Math, but the best part is looped perfectly","Quack Coke","2023-02-02","2022-04-24","https://i.ytimg.com/vi/skRN9ZZ1XyU/hqdefault.jpg"
"-hk1LzKELoo","Megadeth - Countdown To Extinction","Kelvin Monteza","2023-01-17","2013-02-11","https://i.ytimg.com/vi/-hk1LzKELoo/hqdefault.jpg"
"H-q10Tl506o","You Were But A Ghost In My Arms (2016 - Remaster)","Agalloch - Topic","2023-01-17","2021-07-30","https://i.ytimg.com/vi/H-q10Tl506o/hqdefault.jpg"
"3DGdtKWLNaA","Red Cold River","Breaking Benjamin - Topic","2023-01-06","2018-07-26","https://i.ytimg.com/vi/3DGdtKWLNaA/hqdefault.jpg"
"JO1k4ZJjgFY","Dawn Of Solace: ""Dead Air""","zenseitutti","2022-12-25","2007-02-12","https://i.ytimg.com/vi/JO1k4ZJjgFY/hqdefault.jpg"
"UkI4KejmSfY","Breaking Benjamin - So Cold","BreakingBenjaminVEVO","2022-12-25","2020-09-15","https://i.ytimg.com/vi/UkI4KejmSfY/hqdefault.jpg"
"BkHjFzw1TUg","Creed - What If (Official Music Video)","CreedVEVO","2022-12-25","2009-12-02","https://i.ytimg.com/vi/BkHjFzw1TUg/hqdefault.jpg"
"runQJVBO1GE","LOST IN THE ECHO","Linkin Park - Topic","2022-12-23","2015-08-07","https://i.ytimg.com/vi/runQJVBO1GE/hqdefault.jpg"
"bcgS30XAd8I","Harakiri For The Sky - Calling the rain","AOP Records","2022-12-20","2016-03-07","https://i.ytimg.com/vi/bcgS30XAd8I/hqdefault.jpg"
"Kjd8aod5_hQ","Harakiri For The Sky - Thanatos","AOP Records","2022-12-20","2016-07-21","https://i.ytimg.com/vi/Kjd8aod5_hQ/hqdefault.jpg"
"_Q9Ss5zZU4k","As I Am","Dream Theater - Topic","2022-11-19","2017-07-22","https://i.ytimg.com/vi/_Q9Ss5zZU4k/hqdefault.jpg"
"tqxvzs7ojvQ","Lorna Shore - Pain Remains: Trilogy [Unofficial Lyric Video]","Music Heaven","2022-10-25","2022-10-15","https://i.ytimg.com/vi/tqxvzs7ojvQ/hqdefault.jpg"
"g_4eKZiVnLs","an Effect of Fate","fripSide - Topic","2022-10-23","2022-10-18","https://i.ytimg.com/vi/g_4eKZiVnLs/hqdefault.jpg"
"81ITd6ByRLE","Dream House","Deafheaven - Topic","2022-10-09","2014-11-26","https://i.ytimg.com/vi/81ITd6ByRLE/hqdefault.jpg"
"le4RTcUsYYA","RELIQA - Safety feat. Sean Harmanis (Official Music Video)","Reliqa","2022-10-09","2022-08-09","https://i.ytimg.com/vi/le4RTcUsYYA/hqdefault.jpg"
"Dsk3DTdTY3Y","Weight of the World/壊レタ世界ノ歌","Keiichi Okabe - Topic","2022-10-08","2022-03-03","https://i.ytimg.com/vi/Dsk3DTdTY3Y/hqdefault.jpg"
"yipoOY56MbM","Kelly Clarkson - Behind These Hazel Eyes (VIDEO)","kellyclarksonVEVO","2022-09-25","2010-03-10","https://i.ytimg.com/vi/yipoOY56MbM/hqdefault.jpg"
"o9lCtkEnf9A","Distant Dream - Your Own Story [Full Album]","WherePostRockDwells","2022-09-24","2018-05-25","https://i.ytimg.com/vi/o9lCtkEnf9A/hqdefault.jpg"
"bG9Cnh_Orkc","Parkway Drive - ""Glitch""","Parkway Drive","2022-09-09","2022-06-07","https://i.ytimg.com/vi/bG9Cnh_Orkc/hqdefault.jpg"
"tEtO2yaX304","Parkway Drive - ""Darker Still""","Parkway Drive","2022-09-09","2022-08-23","https://i.ytimg.com/vi/tEtO2yaX304/hqdefault.jpg"
"V8EbmtVgdlw","【ORIGINAL SONG MV】解離 (Dissociation) 【Futakuchi Mana 二口魔菜】","Futakuchi Mana | 二口魔菜","2022-09-07","2021-12-31","https://i.ytimg.com/vi/V8EbmtVgdlw/hqdefault.jpg"
"_xbXDwP5Rik","Miss May I - Shadows Inside (Official Music Video)","SharpTone Records","2022-08-31","2017-05-12","https://i.ytimg.com/vi/_xbXDwP5Rik/hqdefault.jpg"
"gwhterTunt4","Be'lakor - A Natural Apostasy","belakorband","2022-08-31","2013-02-24","https://i.ytimg.com/vi/gwhterTunt4/hqdefault.jpg"
"b9RJXWxth5g","Necrophagist- Stabwound","Thebeastsnumber666","2022-08-26","2008-12-09","https://i.ytimg.com/vi/b9RJXWxth5g/hqdefault.jpg"
"UQWjcooDhhk","Be'lakor - By Moon and Star (HD)","belakorband","2022-08-25","2012-05-31","https://i.ytimg.com/vi/UQWjcooDhhk/hqdefault.jpg"
"mPHJycgRLN8","Be'lakor - Remnants (HD)","belakorband","2022-08-17","2012-04-15","https://i.ytimg.com/vi/mPHJycgRLN8/hqdefault.jpg"
"1ywpwfC9baQ","Tapestry of the Starless Abstract","Ne Obliviscaris - Topic","2022-08-15","2020-01-31","https://i.ytimg.com/vi/1ywpwfC9baQ/hqdefault.jpg"
"_oTbsAHTXrc","Ne Obliviscaris - Urn full album (2017)","Season of Mist","2022-07-15","2017-10-27","https://i.ytimg.com/vi/_oTbsAHTXrc/hqdefault.jpg"
"h_DYTjGalqY","Serial Experiments Lain Ending Full Tooi Sakebi","simh","2022-07-15","2011-07-07","https://i.ytimg.com/vi/h_DYTjGalqY/hqdefault.jpg"
"Om458AUy_OQ","Magnolia Park - ""Feel Something"" (feat. Derek Sanders)","Epitaph Records","2022-07-15","2022-05-20","https://i.ytimg.com/vi/Om458AUy_OQ/hqdefault.jpg"
"VupHJWx0u_o","Serial Experiments Lain - Duvet Extended","Chronobreak","2022-07-15","2017-03-13","https://i.ytimg.com/vi/VupHJWx0u_o/hqdefault.jpg"
"j6P_m6adkgc","もぐもぐYUMMY！/ 猫又おかゆ(official)","Okayu Ch. 猫又おかゆ","2022-07-15","2021-02-22","https://i.ytimg.com/vi/j6P_m6adkgc/hqdefault.jpg"
"bePCRKGUwAY","Fear of the Dark (2015 Remaster)","Iron Maiden - Topic","2022-07-13","2018-11-14","https://i.ytimg.com/vi/bePCRKGUwAY/hqdefault.jpg"
"ZsnDwUxxvWU","Unholy Gravebirth","Infant Annihilator - Topic","2022-07-11","2016-07-28","https://i.ytimg.com/vi/ZsnDwUxxvWU/hqdefault.jpg"
"CxvMf9PnImQ","Parkway Drive - ""The Greatest Fear""","Parkway Drive","2022-07-11","2022-07-06","https://i.ytimg.com/vi/CxvMf9PnImQ/hqdefault.jpg"
"SVbc_Fwbt50","Heilung | Anoana [Official Video]","Heilung","2022-06-25","2022-06-22","https://i.ytimg.com/vi/SVbc_Fwbt50/hqdefault.jpg"
"051C0FiNX5U","We Lost The Sea - Departure Songs (Full Album)","In The Woods","2022-06-25","2015-07-23","https://i.ytimg.com/vi/051C0FiNX5U/hqdefault.jpg"
"cpJ0jBTdP70","Metal: Hellsinger — Stygia ft. Alissa White-Gluz from Arch Enemy","Piece Of Lembas","2022-06-25","2022-06-11","https://i.ytimg.com/vi/cpJ0jBTdP70/hqdefault.jpg"
"wVOHaMd3utA","Okayu and Korone Rap - If... by DA PUMP (With Lyrics)【EN Sub】","Fanfare Ch。","2022-06-23","2020-10-20","https://i.ytimg.com/vi/wVOHaMd3utA/hqdefault.jpg"
"ql9-82oV2JE","The Offspring - You're Gonna Go Far, Kid (Official Music Video)","OffspringVEVO","2022-06-08","2017-01-18","https://i.ytimg.com/vi/ql9-82oV2JE/hqdefault.jpg"
"7iNbnineUCI","The Offspring - The Kids Aren't Alright (Official Music Video)","OffspringVEVO","2022-06-08","2017-01-18","https://i.ytimg.com/vi/7iNbnineUCI/hqdefault.jpg"
"T4DL3vbTZ3s","The Brow Beat「銃声」【Official Music Video [Full Ver.] 】","The Brow Beat Official YouTube Channel","2022-05-30","2022-04-04","https://i.ytimg.com/vi/T4DL3vbTZ3s/hqdefault.jpg"
"qmU7RlI8rxY","Dawn Of Solace - Event Horizon (Official Music Video) | Noble Demon","Noble Demon","2022-05-29","2021-11-12","https://i.ytimg.com/vi/qmU7RlI8rxY/hqdefault.jpg"
"vjoKyj51o_I","The Count Of Tuscany","Dream Theater - Topic","2022-05-25","2015-08-28","https://i.ytimg.com/vi/vjoKyj51o_I/hqdefault.jpg"
"IO2QMtWNlEQ","AUSTERE - Just for a Moment...","Eisenwald Official","2022-05-14","2014-03-04","https://i.ytimg.com/vi/IO2QMtWNlEQ/hqdefault.jpg"
"7qrRzNidzIc","Breaking Benjamin - I Will Not Bow (Official Video)","BreakingBenjaminVEVO","2022-05-12","2010-12-10","https://i.ytimg.com/vi/7qrRzNidzIc/hqdefault.jpg"
"SOYkG5VMhp8","KINO - Spokoynaya Noch' (Calm Night) Спокойная ночь","illismi","2022-05-11","2017-02-01","https://i.ytimg.com/vi/SOYkG5VMhp8/hqdefault.jpg"
"qHBpQTtJSNw","felperc - five stages of grief [Album] (2021)","WherePostRockDwells","2022-05-11","2021-02-04","https://i.ytimg.com/vi/qHBpQTtJSNw/hqdefault.jpg"
"7Yo9zPfmVEc","Agalloch - In the Shadow of Our Pale Companion","windswept23","2022-05-11","2011-01-01","https://i.ytimg.com/vi/7Yo9zPfmVEc/hqdefault.jpg"
"thz_JqagxRU","From Roots to Needles","If These Trees Could Talk - Topic","2022-05-11","2015-06-23","https://i.ytimg.com/vi/thz_JqagxRU/hqdefault.jpg"
"5mPM47VTS40","Song to Say Goodbye","Harakiri for the Sky - Topic","2022-05-11","2021-01-28","https://i.ytimg.com/vi/5mPM47VTS40/hqdefault.jpg"
"UD9JosGVJxI","Once Upon a Winter","Harakiri for the Sky - Topic","2022-05-11","2021-02-18","https://i.ytimg.com/vi/UD9JosGVJxI/hqdefault.jpg"
"2YqYtwQ4OyQ","Sing for the Damage We've Done","Harakiri for the Sky - Topic","2022-05-11","2020-11-12","https://i.ytimg.com/vi/2YqYtwQ4OyQ/hqdefault.jpg"
"MMMZdDoDKcg","Harakiri For The Sky - I, Pallbearer (Official Music Video)","AOP Records","2022-05-11","2020-10-08","https://i.ytimg.com/vi/MMMZdDoDKcg/hqdefault.jpg"
"WGgEFoI9MhE","[ORIGINAL] REFLECT - Gawr Gura","Gawr Gura Ch. hololive-EN","2022-05-11","2021-06-21","https://i.ytimg.com/vi/WGgEFoI9MhE/hqdefault.jpg"
"lANpTuNjPJU","Native Deen Alhamdulillah","youngmuslim4life","2022-05-01","2014-03-01","https://i.ytimg.com/vi/lANpTuNjPJU/hqdefault.jpg"
"30XB0dyDPTg","Native Deen - The deen you know (with Lyrics) HD","786MC","2022-05-01","2010-03-02","https://i.ytimg.com/vi/30XB0dyDPTg/hqdefault.jpg"
"J9IXs9qOUL4","NATIVE DEEN -- Intentions","Daze Studios","2022-05-01","2007-12-05","https://i.ytimg.com/vi/J9IXs9qOUL4/hqdefault.jpg"
"f5Uzc_G542E","NATIVE DEEN -- Small Deeds","Daze Studios","2022-05-01","2006-10-16","https://i.ytimg.com/vi/f5Uzc_G542E/hqdefault.jpg"
"2mJpNfEpPVc","Native Deen- Looking Glass","ummatALislam","2022-05-01","2008-06-07","https://i.ytimg.com/vi/2mJpNfEpPVc/hqdefault.jpg"
"vMePtlRFhJU","paradise native deen","mohammedhagos","2022-05-01","2008-06-29","https://i.ytimg.com/vi/vMePtlRFhJU/hqdefault.jpg"
"EpdomeoEX_Y","Native Deen - Test","Yousuf Naeem","2022-05-01","2008-07-09","https://i.ytimg.com/vi/EpdomeoEX_Y/hqdefault.jpg"
"outBImUKxWU","Native Deen -  Drug free","Amir Qureashi","2022-05-01","2012-01-29","https://i.ytimg.com/vi/outBImUKxWU/hqdefault.jpg"
"LAGuESv97OM","Sakina- Native Deen","ummatALislam","2022-05-01","2008-06-07","https://i.ytimg.com/vi/LAGuESv97OM/hqdefault.jpg"
"rjeDkZmwwIo","Icons - Ohongkar","Rezwanul Islam","2022-04-27","2012-01-29","https://i.ytimg.com/vi/rjeDkZmwwIo/hqdefault.jpg"
"7j4VVrAU0Z0","Back To The Shadows","Soulside Journey","2022-04-27","2019-06-06","https://i.ytimg.com/vi/7j4VVrAU0Z0/hqdefault.jpg"
"jGba1gDibw4","Northlane - Bloodline [Official Music Video]","UNFD","2022-04-25","2019-04-29","https://i.ytimg.com/vi/jGba1gDibw4/hqdefault.jpg"
"qC02myx9QCo","SHADE - Dhoa'r Majhey","Kazi Ahmed","2022-04-11","2006-07-07","https://i.ytimg.com/vi/qC02myx9QCo/hqdefault.jpg"
"IGviVpVE1fA","【Original Song】ALiCE&u【Ayunda Risu】","Ayunda Risu Ch. hololive-ID","2022-04-11","2022-01-15","https://i.ytimg.com/vi/IGviVpVE1fA/hqdefault.jpg"
"pYZQVgL84rA","BE'LAKOR - Hidden Window (Official Video) | Napalm Records","Napalm Records","2022-04-11","2021-08-25","https://i.ytimg.com/vi/pYZQVgL84rA/hqdefault.jpg"
"nP-AAlZlCkM","Everything's Alright- Laura Shigihara- lyrics","xx7sweetnightmare4xx","2022-04-06","2012-08-18","https://i.ytimg.com/vi/nP-AAlZlCkM/hqdefault.jpg"
"g-yUloeBnQ4","BAD END THEATER OST - BAD END THEATER - true end ver. (feat. Eleanor Forte Lite)","NomnomNami","2022-04-06","2021-10-27","https://i.ytimg.com/vi/g-yUloeBnQ4/hqdefault.jpg"
"6Ii8E21rbvQ","Deftones - Rosemary","Primera Starrk","2022-03-30","2012-11-10","https://i.ytimg.com/vi/6Ii8E21rbvQ/hqdefault.jpg"
"WqRYBWyvbRo","Architects - ""Hereafter""","Epitaph Records","2022-03-20","2018-09-12","https://i.ytimg.com/vi/WqRYBWyvbRo/hqdefault.jpg"
"O7VstK0lKjY","Decade","fripSide - Topic","2022-03-18","2020-07-07","https://i.ytimg.com/vi/O7VstK0lKjY/hqdefault.jpg"
"hu5WjWAKy88","Much More Was Lost","Be'lakor - Topic","2022-03-17","2021-10-28","https://i.ytimg.com/vi/hu5WjWAKy88/hqdefault.jpg"
"lBdRra2tYp8","Be'lakor - Sun's Delusion","belakorband","2022-03-17","2011-09-18","https://i.ytimg.com/vi/lBdRra2tYp8/hqdefault.jpg"
"VsgEOXlaaI8","Be'lakor - The Dream and the Waking (HD)","belakorband","2022-03-17","2012-05-31","https://i.ytimg.com/vi/VsgEOXlaaI8/hqdefault.jpg"
"uOEUgvorPDo","Be'lakor - Fraught (HD)","belakorband","2022-03-17","2012-05-31","https://i.ytimg.com/vi/uOEUgvorPDo/hqdefault.jpg"
"7jna9bvhdRE","穏ヤカナ眠リ","Keiichi Okabe - Topic","2022-04-11","2022-03-03","https://i.ytimg.com/vi/7jna9bvhdRE/hqdefault.jpg"
"luqXekYUw3A","Onuvuti Stentorian","frozennmist","2022-04-11","2011-11-19","https://i.ytimg.com/vi/luqXekYUw3A/hqdefault.jpg"
